종목코드	종목명
001460	BYC
007700	F&F
130500	GH신소재
093050	LF
066570	LG전자
024940	PN풍년
004060	SG세계물산
001380	SG충방
084870	TBH글로벌
032540	TJ미디어
078890	가온미디어
000050	경방
009140	경인전자
012200	계양전기
005320	국동
190510	나무가
004270	남성
002070	남영비비안
025440	대성엘텍
071460	대유위니아
001070	대한방직
003830	대한화섬
016090	대현
017680	데코앤이
008000	도레이케미칼
001530	동일방직
050120	라이브플렉스
087260	모바일어플라이언스
161570	미동앤씨네마
003610	방림
046310	백금T&A
035150	백산
004740	보루네오
002170	삼양통상
002450	삼익악기
032750	삼진
024950	삼천리자전거
011300	성안
066910	손오공
001000	신라섬유
005390	신성통상
056000	신스타임즈
005800	신영와코루
009270	신원
002700	신일산업
102280	쌍방울
013990	아가방컴퍼니
008700	아남전자
058220	아리온
090370	아비스타
060570	아이리버
032080	아즈텍WB
101140	아티스
123750	알톤스포츠
011090	에넥스
030270	에스마크
069510	에스텍
098660	에스티오
003800	에이스침대
028300	에이치엘비
123040	엔에스엔
111770	엠케이트렌드
009970	영원무역
012280	영원무역홀딩스
065500	오로라
057030	와이비로드
066590	우성아이비
008290	원풍
044340	원풍물산
008600	위닉스
011330	윌비스
011320	유니켐
214320	유진로봇
006490	인디에프
108790	인터엠
008500	일신방직
019540	일정실업
000950	자이글
040420	전방
194370	제로투세븐
026040	제이에스코퍼레이션
058420	제이에스티나
036420	제이준
033340	조광피혁
065060	좋은사람들
013870	지엔코
051630	진도
011000	진양화학
094850	진원생명과학
078650	코데즈컴바인
123410	코렌
021240	코오롱머티리얼
225650	코웨이
192400	쿠첸
054780	쿠쿠전자
057880	태평양물산
066410	토필드
130740	티케이케미칼
034230	팅크웨어
032800	파세코
004590	하츠
039340	한국가구
020000	한샘
105630	한섬
016450	한세실업
018880	한세예스24홀딩스
089470	행남생활건강
012330	현대리바트
093240	형지I&C
093240	형지엘리트
008770	호전실업
010690	화승엔터프라이즈
079980	휠라코리아
031860	휴비스
079160	CJ CGV
130960	CJ E&M
037560	CJ헬로비전
003560	IHQ
052220	iMBC
035900	JYP Ent.
122450	KMH
058400	KNN
043610	KT뮤직
160550	NEW
034120	SBS
101060	SBS미디어홀딩스
037270	YG PLUS
040300	YTN
011420	갤럭시아에스엠
089600	나스미디어
048910	대원미디어
206560	덱스터
033130	디지틀조선
016170	로엔
207760	미스터블루
068290	삼성출판사
046390	삼화네트웍스
002420	세기상사
053110	소리바다
086980	쇼박스
053210	스카이라이프
039670	스포츠서울
066790	씨씨에스
041510	에스엠
230360	에코마케팅
173940	에프엔씨엔터
053280	예림당
031510	오리콤
122870	와이오엠
070960	와이지엔터테인먼트
008370	웅진씽크빅
036260	이노션
123570	이매진아시아
088290	이엠넷
014990	이퓨쳐
017250	인크로스
025620	제이웨이
030000	제이콘텐트리
004700	제일기획
088790	지투알
071850	초록뱀
004100	키이스트
105550	투윈글로벌
019180	티비씨
090080	팬엔터테인먼트
161390	한국경제TV
015540	핫텍
011210	현대에이치씨엔
134780	화이브라더스
035760	CJ오쇼핑
028150	GS홈쇼핑
000680	LS네트웍스
121440	골프존유원홀딩스
037710	광주신세계
019010	그랜드백화점
006370	대구백화점
128820	대성산업
005620	대성합동지주
067990	도이치모터스
023530	롯데쇼핑
071840	롯데하이마트
012700	리드코프
014470	부방
006730	서부T&D
067830	세이브존I&C
004170	신세계
031430	신세계인터내셔날
069920	아이에스이커머스
138250	엔에스쇼핑
039830	예스24
023800	인스코비
035080	인터파크
023810	인터파크홀딩스
096240	참좋은레져
015540	한화갤러리아타임월드
126560	현대백화점
011080	현대홈쇼핑
013520	호텔신라
114090	GKL
065150	MPK
048550	SM C&C
035250	강원랜드
066620	국보디자인
053290	능률교육
019680	대교
068930	디지털대성
032350	롯데관광개발
060240	룽투코리아
067280	멀티캠퍼스
072870	메가스터디
215200	메가스터디교육
133750	메가엠디
080160	모두투어
018700	바른손
100220	비상교육
063170	서울옥션
031440	신세계푸드
225330	씨엠에스에듀
025980	에머슨퍼시픽
035290	에이원앤
066430	와이비엠넷
215360	용평리조트
033600	이월드
159580	정상제이엘에스
013720	청담러닝
037070	파라다이스
068050	판타지오
066130	하나투어
143210	해마로푸드서비스
057050	현대통신
004840	DRB동일
024120	KB오토시스
000040	KR모터스
064960	S&T모티브
036530	S&T홀딩스
123700	SJM
025530	SJM홀딩스
024840	갑을메탈
024910	경창산업
090150	광진윈텍
053270	구영테크
214330	금호에이치티
073240	금호타이어
000270	기아차
212560	네오오토
005720	넥센
002350	넥센타이어
073070	넥센테크
020400	대동금속
008830	대동기어
104040	대성파인텍
009320	대우부품
000430	대원강업
005710	대원산업
002880	대유에이텍
000300	대유플러스
024900	덕양산업
001620	동국실업
007340	동아타이어
041930	동아화성
018500	동원금속
163560	동일고무벨트
016740	두올
078590	두올산업
092200	디아이씨
113810	디젠스
204320	만도
009680	모토닉
005030	부산주공
122350	삼기오토모티브
053700	삼보모터스
006660	삼성공조
041650	상신브레이크
075180	새론오토모티브
007860	서연
200880	서연이화
012860	서연전자
019770	서연탑메탈
122690	서진오토모티브
015750	성우하이텍
080470	성창오토텍
053060	세동
004490	세방전지
024830	세원물산
021820	세원정공
033530	세종공업
047400	쌍용머티리얼
003620	쌍용차
013310	아진산업
023890	아트라스BX
005850	에스엘
015260	에이엔피
038110	에코플라스틱
067570	엔브이에이치코리아
069640	엠에스오토텍
036000	영화금속
010470	오리엔트정공
010600	오스템
072470	우리산업
194610	우리산업홀딩스
017370	우수AMS
095720	우신시스템
241690	유니크
048430	유니테크노
002920	유라테크
056080	유성기업
084680	이원컴포텍
134060	이젠텍
216050	인지컨트롤스
003200	인팩
234920	일지테크
010580	지엠비코리아
035000	지코
033250	청보산업
047820	체시스
046070	캐스텍코리아
047770	코다코
152330	코리아에프티
144620	코리아오토글라스
001420	태양금속
007980	태원물산
033830	트루윈
104480	티에이치엔
084730	티피씨글로벌
043370	평화산업
010770	평화정공
093380	평화홀딩스
039130	풍강
010100	한국타이어
060980	한국프랜지
009240	한라홀딩스
024740	한온시스템
027390	한일단조
008800	핸즈코퍼레이션
170030	현대EP
079430	현대공업
069960	현대모비스
005380	현대위아
039010	현대차
241590	화승알앤에이
126640	화신
086250	화신정공
204630	화신테크
081660	화진
051900	LG생활건강
052260	SK바이오랜드
004540	깨끗한나라
092730	네오팜
065170	넥스트BT
222040	뉴트리바이오텍
016100	리더스코스메틱
012690	모나리자
014100	보령메디앙스
002790	아모레G
090430	아모레퍼시픽
217480	에스디생명공학
078520	에이블씨엔씨
239610	에이치엘사이언스
065950	웰크론
044480	유니더스
226320	잇츠스킨
123330	제닉
027050	코리아나
192820	코스맥스
044820	코스맥스비티아이
241710	코스메카코리아
069110	코스온
200130	콜마비앤에이치
237880	클리오
214420	토니모리
161890	한국콜마
024720	한국콜마홀딩스
123690	한국화장품
003350	한국화장품제조
011150	CJ씨푸드
097950	CJ제일제당
033780	KT&G
023150	MH에탄올
005610	SPC삼립
002140	고려산업
043650	국순당
003920	남양유업
007390	네이처셀
004370	농심
072710	농심홀딩스
054050	농우바이오
001680	대상
084690	대상홀딩스
003310	대주산업
001790	대한제당
001130	대한제분
088910	동우
049770	동원F&B
006040	동원산업
030720	동원수산
004990	롯데제과
005300	롯데칠성
002270	롯데푸드
027740	마니커
005990	매일유업
033920	무학
000890	보해양조
005180	빙그레
003960	사조대림
008040	사조동아원
007160	사조산업
014710	사조씨푸드
006090	사조오양
079660	사조해표
145990	삼양사
003230	삼양식품
000070	삼양홀딩스
007540	샘표
248170	샘표식품
004410	서울식품
136490	선진
004970	신라교역
025870	신라에스지
006880	신송홀딩스
007310	오뚜기
001800	오리온
073560	우리손에프앤지
006980	우성사료
035810	이지바이오
002600	조흥
018120	진로발효
086060	진바이오텍
025880	케이씨피드
005740	크라운제과
036580	팜스코
027710	팜스토리
005670	푸드웰
017810	풀무원
023900	풍국주정
136480	하림
000080	하이트진로
000140	하이트진로홀딩스
